index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,0.01%,%,bctn
2,State ownership,Sở hữu nhà nước,75.87%,%,bctn
3,Institutional ownership,Sở hữu tổ chức,79.29%,%,bctn
4,Foreign ownership,Sở hữu nước ngoài,17.05%,%,bctn
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1270592235,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,273979175973479,VND,pdf
7,Total assets,Tổng tài sản,79675619099330,VND,pdf
8,Selling expenses,Chi phí bán hàng,12139673166162,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,949360826359,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,2344267225705,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,13376946104126,VND,computed_from_pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,3817970501791,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,4580950980273,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,11741984334898,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,138069838214,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,3933109228907,VND,pdf
17,Production cost,Tổng chi phí sản xuất,21891006313306,VND,computed_from_pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,0,VND,bctn_no_separate_disclosure
19,Product innovation,Đổi mới sản phẩm,1,binary,bctn_inferred
20,Process innovation,Đổi mới quy trình,1,binary,bctn_supported
21,Net Income,Lợi nhuận sau thuế,3077319943400,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,29202107178831,VND,pdf
23,Market value of equity,Vốn hóa thị trường,40876394024341.67,VND,yahoo
24,Total liabilities,Nợ phải trả,50473511920499,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,5273573151161,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,1652018073110,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-7074850993031,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,14048245083619,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,646814450564,VND,pdf
30,Current assets,Tài sản ngắn hạn,57306926231393,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,49660611907033,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-0.0989,%,computed
33,Total inventory,Hàng tồn kho,14639913875637,VND,pdf
34,Divident payment,Cổ tức đã trả,1099707459657,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,1706,VND,pdf
36,Number of employees,Số lượng nhân viên,26262,người,bctn
37,"Net plant, property and equipment",Tài sản cố định hữu hình,11310449028835,VND,pdf
38,Firm age,Tuổi công ty,28,years,computed
