company_code,year,index_id,index_name,unit,note,value
DCM,2020,1,Managerial ownership,%,,
DCM,2020,2,State ownership,%,,
DCM,2020,3,Institutional ownership,%,,
DCM,2020,4,Foreign ownership,%,,
DCM,2020,19,Product innovation,binary,,
DCM,2020,20,Process innovation,binary,,
DCM,2020,34,Dividend payment,VND,,
DCM,2020,36,Number of employees,people,,
DCM,2021,1,Managerial ownership,%,,
DCM,2021,2,State ownership,%,,
DCM,2021,3,Institutional ownership,%,,
DCM,2021,4,Foreign ownership,%,,
DCM,2021,19,Product innovation,binary,,
DCM,2021,20,Process innovation,binary,,
DCM,2021,34,Dividend payment,VND,,
DCM,2021,36,Number of employees,people,,
DCM,2022,1,Managerial ownership,%,,
DCM,2022,2,State ownership,%,,
DCM,2022,3,Institutional ownership,%,,
DCM,2022,4,Foreign ownership,%,,
DCM,2022,19,Product innovation,binary,,
DCM,2022,20,Process innovation,binary,,
DCM,2022,34,Dividend payment,VND,,
DCM,2022,36,Number of employees,people,,
DCM,2023,1,Managerial ownership,%,,
DCM,2023,2,State ownership,%,,
DCM,2023,3,Institutional ownership,%,,
DCM,2023,4,Foreign ownership,%,,
DCM,2023,19,Product innovation,binary,,
DCM,2023,20,Process innovation,binary,,
DCM,2023,34,Dividend payment,VND,,
DCM,2023,36,Number of employees,people,,
DCM,2024,1,Managerial ownership,%,,
DCM,2024,2,State ownership,%,,
DCM,2024,3,Institutional ownership,%,,
DCM,2024,4,Foreign ownership,%,,
DCM,2024,19,Product innovation,binary,,
DCM,2024,20,Process innovation,binary,,
DCM,2024,34,Dividend payment,VND,,
DCM,2024,36,Number of employees,people,,
EVG,2020,1,Managerial ownership,%,,
EVG,2020,2,State ownership,%,,
EVG,2020,3,Institutional ownership,%,,
EVG,2020,4,Foreign ownership,%,,
EVG,2020,19,Product innovation,binary,,
EVG,2020,20,Process innovation,binary,,
EVG,2020,34,Dividend payment,VND,,
EVG,2020,36,Number of employees,people,,
EVG,2021,1,Managerial ownership,%,,
EVG,2021,2,State ownership,%,,
EVG,2021,3,Institutional ownership,%,,
EVG,2021,4,Foreign ownership,%,,
EVG,2021,19,Product innovation,binary,,
EVG,2021,20,Process innovation,binary,,
EVG,2021,34,Dividend payment,VND,,
EVG,2021,36,Number of employees,people,,
EVG,2022,1,Managerial ownership,%,,
EVG,2022,2,State ownership,%,,
EVG,2022,3,Institutional ownership,%,,
EVG,2022,4,Foreign ownership,%,,
EVG,2022,19,Product innovation,binary,,
EVG,2022,20,Process innovation,binary,,
EVG,2022,34,Dividend payment,VND,,
EVG,2022,36,Number of employees,people,,
EVG,2023,1,Managerial ownership,%,,
EVG,2023,2,State ownership,%,,
EVG,2023,3,Institutional ownership,%,,
EVG,2023,4,Foreign ownership,%,,
EVG,2023,19,Product innovation,binary,,
EVG,2023,20,Process innovation,binary,,
EVG,2023,34,Dividend payment,VND,,
EVG,2023,36,Number of employees,people,,
EVG,2024,1,Managerial ownership,%,,
EVG,2024,2,State ownership,%,,
EVG,2024,3,Institutional ownership,%,,
EVG,2024,4,Foreign ownership,%,,
EVG,2024,19,Product innovation,binary,,
EVG,2024,20,Process innovation,binary,,
EVG,2024,34,Dividend payment,VND,,
EVG,2024,36,Number of employees,people,,
HAG,2020,1,Managerial ownership,%,,
HAG,2020,2,State ownership,%,,
HAG,2020,3,Institutional ownership,%,,
HAG,2020,4,Foreign ownership,%,,
HAG,2020,19,Product innovation,binary,,
HAG,2020,20,Process innovation,binary,,
HAG,2020,34,Dividend payment,VND,,
HAG,2020,36,Number of employees,people,,
HAG,2021,1,Managerial ownership,%,,
HAG,2021,2,State ownership,%,,
HAG,2021,3,Institutional ownership,%,,
HAG,2021,4,Foreign ownership,%,,
HAG,2021,19,Product innovation,binary,,
HAG,2021,20,Process innovation,binary,,
HAG,2021,34,Dividend payment,VND,,
HAG,2021,36,Number of employees,people,,
HAG,2022,1,Managerial ownership,%,,
HAG,2022,2,State ownership,%,,
HAG,2022,3,Institutional ownership,%,,
HAG,2022,4,Foreign ownership,%,,
HAG,2022,19,Product innovation,binary,,
HAG,2022,20,Process innovation,binary,,
HAG,2022,34,Dividend payment,VND,,
HAG,2022,36,Number of employees,people,,
HAG,2023,1,Managerial ownership,%,,
HAG,2023,2,State ownership,%,,
HAG,2023,3,Institutional ownership,%,,
HAG,2023,4,Foreign ownership,%,,
HAG,2023,19,Product innovation,binary,,
HAG,2023,20,Process innovation,binary,,
HAG,2023,34,Dividend payment,VND,,
HAG,2023,36,Number of employees,people,,
HAG,2024,1,Managerial ownership,%,,
HAG,2024,2,State ownership,%,,
HAG,2024,3,Institutional ownership,%,,
HAG,2024,4,Foreign ownership,%,,
HAG,2024,19,Product innovation,binary,,
HAG,2024,20,Process innovation,binary,,
HAG,2024,34,Dividend payment,VND,,
HAG,2024,36,Number of employees,people,,
HPG,2020,1,Managerial ownership,%,,
HPG,2020,2,State ownership,%,,
HPG,2020,3,Institutional ownership,%,,
HPG,2020,4,Foreign ownership,%,,
HPG,2020,19,Product innovation,binary,,
HPG,2020,20,Process innovation,binary,,
HPG,2020,34,Dividend payment,VND,,
HPG,2020,36,Number of employees,people,,
HPG,2021,1,Managerial ownership,%,,
HPG,2021,2,State ownership,%,,
HPG,2021,3,Institutional ownership,%,,
HPG,2021,4,Foreign ownership,%,,
HPG,2021,19,Product innovation,binary,,
HPG,2021,20,Process innovation,binary,,
HPG,2021,34,Dividend payment,VND,,
HPG,2021,36,Number of employees,people,,
HPG,2022,1,Managerial ownership,%,,
HPG,2022,2,State ownership,%,,
HPG,2022,3,Institutional ownership,%,,
HPG,2022,4,Foreign ownership,%,,
HPG,2022,19,Product innovation,binary,,
HPG,2022,20,Process innovation,binary,,
HPG,2022,34,Dividend payment,VND,,
HPG,2022,36,Number of employees,people,,
HPG,2023,1,Managerial ownership,%,,
HPG,2023,2,State ownership,%,,
HPG,2023,3,Institutional ownership,%,,
HPG,2023,4,Foreign ownership,%,,
HPG,2023,19,Product innovation,binary,,
HPG,2023,20,Process innovation,binary,,
HPG,2023,34,Dividend payment,VND,,
HPG,2023,36,Number of employees,people,,
HPG,2024,1,Managerial ownership,%,,
HPG,2024,2,State ownership,%,,
HPG,2024,3,Institutional ownership,%,,
HPG,2024,4,Foreign ownership,%,,
HPG,2024,19,Product innovation,binary,,
HPG,2024,20,Process innovation,binary,,
HPG,2024,34,Dividend payment,VND,,
HPG,2024,36,Number of employees,people,,
HSG,2020,1,Managerial ownership,%,,
HSG,2020,2,State ownership,%,,
HSG,2020,3,Institutional ownership,%,,
HSG,2020,4,Foreign ownership,%,,
HSG,2020,19,Product innovation,binary,,
HSG,2020,20,Process innovation,binary,,
HSG,2020,34,Dividend payment,VND,,
HSG,2020,36,Number of employees,people,,
HSG,2021,1,Managerial ownership,%,,
HSG,2021,2,State ownership,%,,
HSG,2021,3,Institutional ownership,%,,
HSG,2021,4,Foreign ownership,%,,
HSG,2021,19,Product innovation,binary,,
HSG,2021,20,Process innovation,binary,,
HSG,2021,34,Dividend payment,VND,,
HSG,2021,36,Number of employees,people,,
HSG,2022,1,Managerial ownership,%,,
HSG,2022,2,State ownership,%,,
HSG,2022,3,Institutional ownership,%,,
HSG,2022,4,Foreign ownership,%,,
HSG,2022,19,Product innovation,binary,,
HSG,2022,20,Process innovation,binary,,
HSG,2022,34,Dividend payment,VND,,
HSG,2022,36,Number of employees,people,,
HSG,2023,1,Managerial ownership,%,,
HSG,2023,2,State ownership,%,,
HSG,2023,3,Institutional ownership,%,,
HSG,2023,4,Foreign ownership,%,,
HSG,2023,19,Product innovation,binary,,
HSG,2023,20,Process innovation,binary,,
HSG,2023,34,Dividend payment,VND,,
HSG,2023,36,Number of employees,people,,
HSG,2024,1,Managerial ownership,%,,
HSG,2024,2,State ownership,%,,
HSG,2024,3,Institutional ownership,%,,
HSG,2024,4,Foreign ownership,%,,
HSG,2024,19,Product innovation,binary,,
HSG,2024,20,Process innovation,binary,,
HSG,2024,34,Dividend payment,VND,,
HSG,2024,36,Number of employees,people,,
KDC,2020,1,Managerial ownership,%,,
KDC,2020,2,State ownership,%,,
KDC,2020,3,Institutional ownership,%,,
KDC,2020,4,Foreign ownership,%,,
KDC,2020,19,Product innovation,binary,,
KDC,2020,20,Process innovation,binary,,
KDC,2020,34,Dividend payment,VND,,
KDC,2020,36,Number of employees,people,,
KDC,2021,1,Managerial ownership,%,,
KDC,2021,2,State ownership,%,,
KDC,2021,3,Institutional ownership,%,,
KDC,2021,4,Foreign ownership,%,,
KDC,2021,19,Product innovation,binary,,
KDC,2021,20,Process innovation,binary,,
KDC,2021,34,Dividend payment,VND,,
KDC,2021,36,Number of employees,people,,
KDC,2022,1,Managerial ownership,%,,
KDC,2022,2,State ownership,%,,
KDC,2022,3,Institutional ownership,%,,
KDC,2022,4,Foreign ownership,%,,
KDC,2022,19,Product innovation,binary,,
KDC,2022,20,Process innovation,binary,,
KDC,2022,34,Dividend payment,VND,,
KDC,2022,36,Number of employees,people,,
KDC,2023,1,Managerial ownership,%,,
KDC,2023,2,State ownership,%,,
KDC,2023,3,Institutional ownership,%,,
KDC,2023,4,Foreign ownership,%,,
KDC,2023,19,Product innovation,binary,,
KDC,2023,20,Process innovation,binary,,
KDC,2023,34,Dividend payment,VND,,
KDC,2023,36,Number of employees,people,,
KDC,2024,1,Managerial ownership,%,,
KDC,2024,2,State ownership,%,,
KDC,2024,3,Institutional ownership,%,,
KDC,2024,4,Foreign ownership,%,,
KDC,2024,19,Product innovation,binary,,
KDC,2024,20,Process innovation,binary,,
KDC,2024,34,Dividend payment,VND,,
KDC,2024,36,Number of employees,people,,
MSN,2020,1,Managerial ownership,%,,
MSN,2020,2,State ownership,%,,
MSN,2020,3,Institutional ownership,%,,
MSN,2020,4,Foreign ownership,%,,
MSN,2020,19,Product innovation,binary,,
MSN,2020,20,Process innovation,binary,,
MSN,2020,34,Dividend payment,VND,,
MSN,2020,36,Number of employees,people,,
MSN,2021,1,Managerial ownership,%,,
MSN,2021,2,State ownership,%,,
MSN,2021,3,Institutional ownership,%,,
MSN,2021,4,Foreign ownership,%,,
MSN,2021,19,Product innovation,binary,,
MSN,2021,20,Process innovation,binary,,
MSN,2021,34,Dividend payment,VND,,
MSN,2021,36,Number of employees,people,,
MSN,2022,1,Managerial ownership,%,,
MSN,2022,2,State ownership,%,,
MSN,2022,3,Institutional ownership,%,,
MSN,2022,4,Foreign ownership,%,,
MSN,2022,19,Product innovation,binary,,
MSN,2022,20,Process innovation,binary,,
MSN,2022,34,Dividend payment,VND,,
MSN,2022,36,Number of employees,people,,
MSN,2023,1,Managerial ownership,%,,
MSN,2023,2,State ownership,%,,
MSN,2023,3,Institutional ownership,%,,
MSN,2023,4,Foreign ownership,%,,
MSN,2023,19,Product innovation,binary,,
MSN,2023,20,Process innovation,binary,,
MSN,2023,34,Dividend payment,VND,,
MSN,2023,36,Number of employees,people,,
MSN,2024,1,Managerial ownership,%,,
MSN,2024,2,State ownership,%,,
MSN,2024,3,Institutional ownership,%,,
MSN,2024,4,Foreign ownership,%,,
MSN,2024,19,Product innovation,binary,,
MSN,2024,20,Process innovation,binary,,
MSN,2024,34,Dividend payment,VND,,
MSN,2024,36,Number of employees,people,,
NAF,2020,1,Managerial ownership,%,,
NAF,2020,2,State ownership,%,,
NAF,2020,3,Institutional ownership,%,,
NAF,2020,4,Foreign ownership,%,,
NAF,2020,19,Product innovation,binary,,
NAF,2020,20,Process innovation,binary,,
NAF,2020,34,Dividend payment,VND,,
NAF,2020,36,Number of employees,people,,
NAF,2021,1,Managerial ownership,%,,
NAF,2021,2,State ownership,%,,
NAF,2021,3,Institutional ownership,%,,
NAF,2021,4,Foreign ownership,%,,
NAF,2021,19,Product innovation,binary,,
NAF,2021,20,Process innovation,binary,,
NAF,2021,34,Dividend payment,VND,,
NAF,2021,36,Number of employees,people,,
NAF,2022,1,Managerial ownership,%,,
NAF,2022,2,State ownership,%,,
NAF,2022,3,Institutional ownership,%,,
NAF,2022,4,Foreign ownership,%,,
NAF,2022,19,Product innovation,binary,,
NAF,2022,20,Process innovation,binary,,
NAF,2022,34,Dividend payment,VND,,
NAF,2022,36,Number of employees,people,,
NAF,2023,1,Managerial ownership,%,,
NAF,2023,2,State ownership,%,,
NAF,2023,3,Institutional ownership,%,,
NAF,2023,4,Foreign ownership,%,,
NAF,2023,19,Product innovation,binary,,
NAF,2023,20,Process innovation,binary,,
NAF,2023,34,Dividend payment,VND,,
NAF,2023,36,Number of employees,people,,
NAF,2024,1,Managerial ownership,%,,
NAF,2024,2,State ownership,%,,
NAF,2024,3,Institutional ownership,%,,
NAF,2024,4,Foreign ownership,%,,
NAF,2024,19,Product innovation,binary,,
NAF,2024,20,Process innovation,binary,,
NAF,2024,34,Dividend payment,VND,,
NAF,2024,36,Number of employees,people,,
NTP,2020,1,Managerial ownership,%,,
NTP,2020,2,State ownership,%,,
NTP,2020,3,Institutional ownership,%,,
NTP,2020,4,Foreign ownership,%,,
NTP,2020,19,Product innovation,binary,,
NTP,2020,20,Process innovation,binary,,
NTP,2020,34,Dividend payment,VND,,
NTP,2020,36,Number of employees,people,,
NTP,2021,1,Managerial ownership,%,,
NTP,2021,2,State ownership,%,,
NTP,2021,3,Institutional ownership,%,,
NTP,2021,4,Foreign ownership,%,,
NTP,2021,19,Product innovation,binary,,
NTP,2021,20,Process innovation,binary,,
NTP,2021,34,Dividend payment,VND,,
NTP,2021,36,Number of employees,people,,
NTP,2022,1,Managerial ownership,%,,
NTP,2022,2,State ownership,%,,
NTP,2022,3,Institutional ownership,%,,
NTP,2022,4,Foreign ownership,%,,
NTP,2022,19,Product innovation,binary,,
NTP,2022,20,Process innovation,binary,,
NTP,2022,34,Dividend payment,VND,,
NTP,2022,36,Number of employees,people,,
NTP,2023,1,Managerial ownership,%,,
NTP,2023,2,State ownership,%,,
NTP,2023,3,Institutional ownership,%,,
NTP,2023,4,Foreign ownership,%,,
NTP,2023,19,Product innovation,binary,,
NTP,2023,20,Process innovation,binary,,
