index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,10.0,%,manual
2,State ownership,Sở hữu nhà nước,,%,manual
3,Institutional ownership,Sở hữu tổ chức,,%,manual
4,Foreign ownership,Sở hữu nước ngoài,,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1270592235.0,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,304171606608893.0,VND,pdf
7,Total assets,Tổng tài sản,79675619099330.0,VND,pdf
8,Selling expenses,Chi phí bán hàng,4345312370975.0,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,476606825270.0,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,-24143179724.0,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,4580950980273.0,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,9988470775076.0,VND,pdf
15,Work-in-progress goods purchase,Chi phí sản xuất kinh doanh dở dang,,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,105718357073.0,VND,pdf
17,Production cost,Tổng chi phí sản xuất,,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,,VND,pdf
19,Product innovation,Đổi mới sản phẩm,,binary,manual
20,Process innovation,Đổi mới quy trình,,binary,manual
21,Net Income,Lợi nhuận sau thuế,1360674905270.0,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,29202107178831.0,VND,pdf
23,Market value of equity,Vốn hóa thị trường,40817239518275.86,VND,yahoo
24,Total liabilities,Nợ phải trả,50473511920499.0,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,14048245083619.0,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,812900013466.0,VND,pdf
30,Current assets,Tài sản ngắn hạn,57306926231393.0,VND,pdf
31,Current liabilities,Nợ ngắn hạn,49660611907033.0,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng doanh thu,0.0,%,computed
33,Total inventory,Hàng tồn kho,14639913875637.0,VND,pdf
34,Dividend payment,Chi trả cổ tức,,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,,VND,pdf
36,Number of employees,Số lượng nhân viên,,people,pdf
37,"Net plant, property and equipment",Tài sản cố định hữu hình,11946213.0,VND,pdf
38,Firm age,Tuổi công ty,67.0,years,computed
