company_code,year,index_id,index_name,value,unit,source
DCM,2020,1,Managerial ownership,10.0,%,yahoo
DCM,2020,6,Total sales revenue and Net sales revenue,7716890477631.0,VND,pdf
DCM,2020,7,Total assets,67941730594.0,VND,pdf
DCM,2020,8,Selling expenses,369000315151.0,VND,pdf
DCM,2020,9,General and administrative expenditure,304406663012.0,VND,pdf
DCM,2020,10,Value of intangible assets,55797572196.0,VND,pdf
DCM,2020,14,Merchandise purchase of the year,295586957.0,VND,pdf
DCM,2020,21,Net Income,-1402137444.0,VND,pdf
DCM,2020,24,Total liabilities,-24341547506.0,VND,pdf
DCM,2020,25,Net cash from operating activities,716533804305.0,VND,pdf
DCM,2020,28,Cash and cash equivalent,509995350873.0,VND,pdf
DCM,2020,30,Current assets,114665589805.0,VND,pdf
DCM,2020,33,Total inventory,834134886038.0,VND,pdf
DCM,2020,35,EPS,661046074192.0,VND,pdf
DCM,2020,36,Number of employees,1203.0,people,pdf
DCM,2020,37,"Net plant, property and equipment",3899631024527.0,VND,pdf
DCM,2020,38,Firm age,9.0,years,yahoo
DCM,2021,1,Managerial ownership,10.0,%,yahoo
DCM,2021,6,Total sales revenue and Net sales revenue,10088157082401.0,VND,pdf
DCM,2021,8,Selling expenses,420401252844.0,VND,pdf
DCM,2021,14,Merchandise purchase of the year,1638158931515.0,VND,pdf
DCM,2021,17,Production cost,-5587228520064.0,VND,pdf
DCM,2021,21,Net Income,1187985397.0,VND,pdf
DCM,2021,22,Total shareholders' equity,478097275386.0,VND,pdf
DCM,2021,29,Long-term debt,407413516846.0,VND,pdf
DCM,2021,31,Current liabilities,3486610542693.0,VND,pdf
DCM,2021,32,Growth ratio,30.73,%,computed
DCM,2021,34,Dividend payment,-320018445600.0,VND,pdf
DCM,2021,38,Firm age,10.0,years,yahoo
DCM,2022,1,Managerial ownership,10.0,%,yahoo
DCM,2022,6,Total sales revenue and Net sales revenue,16380039770909.0,VND,pdf
DCM,2022,7,Total assets,67976104177.0,VND,pdf
DCM,2022,8,Selling expenses,4593146316328.0,VND,pdf
DCM,2022,9,General and administrative expenditure,4593146316328.0,VND,pdf
DCM,2022,10,Value of intangible assets,47207630472.0,VND,pdf
DCM,2022,12,Net operating income,4593146316328.0,VND,pdf
DCM,2022,14,Merchandise purchase of the year,10221097432231.0,VND,pdf
DCM,2022,16,Outside manufacturing expenses,35672486604.0,VND,pdf
DCM,2022,17,Production cost,10221097432231.0,VND,pdf
DCM,2022,21,Net Income,3018455058084.0,VND,pdf
DCM,2022,22,Total shareholders' equity,10605448816520.0,VND,pdf
DCM,2022,24,Total liabilities,-38832768720.0,VND,pdf
DCM,2022,29,Long-term debt,686975917653.0,VND,pdf
DCM,2022,30,Current assets,11624186590632.0,VND,pdf
DCM,2022,32,Growth ratio,62.37,%,computed
DCM,2022,33,Total inventory,2282527702409.0,VND,pdf
DCM,2022,34,Dividend payment,-720041502600.0,VND,pdf
DCM,2022,35,EPS,3073.0,VND,pdf
DCM,2022,36,Number of employees,1266.0,people,pdf
DCM,2022,37,"Net plant, property and equipment",2159644948177.0,VND,pdf
DCM,2022,38,Firm age,11.0,years,yahoo
DCM,2023,1,Managerial ownership,10.0,%,yahoo
DCM,2023,5,Total share outstanding,529400000.0,shares,yahoo
DCM,2023,6,Total sales revenue and Net sales revenue,15924526874399.0,VND,pdf
DCM,2023,7,Total assets,67976104177.0,VND,pdf
DCM,2023,8,Selling expenses,4593146316328.0,VND,pdf
DCM,2023,9,General and administrative expenditure,4593146316328.0,VND,pdf
DCM,2023,10,Value of intangible assets,350407740981.0,VND,pdf
DCM,2023,14,Merchandise purchase of the year,10440.0,VND,pdf
DCM,2023,17,Production cost,10538742407968.0,VND,pdf
DCM,2023,21,Net Income,2044851345036.0,VND,pdf
DCM,2023,22,Total shareholders' equity,9963383234158.0,VND,pdf
DCM,2023,23,Market value of equity,15375434510937.5,VND,yahoo
DCM,2023,24,Total liabilities,-33657130893.0,VND,pdf
DCM,2023,25,Net cash from operating activities,1254809583640.0,VND,pdf
DCM,2023,27,Cash flows from investing activities,-1469108624043.0,VND,pdf
DCM,2023,28,Cash and cash equivalent,2284399788772.0,VND,pdf
DCM,2023,29,Long-term debt,2964479875.0,VND,pdf
DCM,2023,30,Current assets,451669148761.0,VND,pdf
DCM,2023,32,Growth ratio,-2.78,%,computed
DCM,2023,33,Total inventory,2160588161856.0,VND,pdf
DCM,2023,34,Dividend payment,-1200069171000.0,VND,pdf
DCM,2023,35,EPS,1108892825082.0,VND,pdf
DCM,2023,36,Number of employees,1300.0,people,pdf
DCM,2023,37,"Net plant, property and equipment",1249767699101.0,VND,pdf
DCM,2023,38,Firm age,12.0,years,yahoo
DCM,2024,1,Managerial ownership,10.0,%,yahoo
DCM,2024,5,Total share outstanding,529400000.0,shares,yahoo
DCM,2024,6,Total sales revenue and Net sales revenue,13455585149640.0,VND,pdf
DCM,2024,7,Total assets,16486331655016.0,VND,pdf
DCM,2024,8,Selling expenses,1323302243676.0,VND,pdf
DCM,2024,9,General and administrative expenditure,1522063488191.0,VND,pdf
DCM,2024,10,Value of intangible assets,123087763102.0,VND,pdf
DCM,2024,14,Merchandise purchase of the year,10447.0,VND,pdf
DCM,2024,17,Production cost,10942100894031.0,VND,pdf
DCM,2024,21,Net Income,1882513091925.0,VND,pdf
