index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,0.025,%,manual
2,State ownership,Sở hữu nhà nước,75.56,%,manual
3,Institutional ownership,Sở hữu tổ chức,84.78,%,manual
4,Foreign ownership,Sở hữu nước ngoài,6.05,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,529400000,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,13455585149640,VND,pdf
7,Total assets,Tổng tài sản,15728847338145,VND,pdf
8,Selling expenses,Chi phí bán hàng,1014369800748,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,481047001909,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,363785724103,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,2055000000000,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,1323302243676,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,7793356775924,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,4920818006937,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,173697938463,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,1098824810836,VND,pdf
17,Production cost,Tổng chi phí sản xuất,10942100894031,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,44783820092,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,1428006581442,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,10177176600982,VND,pdf
23,Market value of equity,Vốn hóa thị trường,18105480000000,VND,yahoo
24,Total liabilities,Nợ phải trả,5551670737163,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,77549319891,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-791149614699,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,141110344261,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,1903248325989,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,119527496051,VND,pdf
30,Current assets,Tài sản ngắn hạn,12920862784796,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,4680730113512,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,7.04,%,computed
33,Total inventory,Hàng tồn kho,2950300636844,VND,pdf
34,Divident payment,Cổ tức đã trả,-1058905716000,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,2394,VND,pdf
36,Number of employees,Số lượng nhân viên,1430,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,1571196451367,VND,pdf
38,Firm age,Tuổi công ty,13,years,computed
