index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,9.82%,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,215249836,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,809391545910.0,VND,pdf
7,Total assets,Tổng tài sản,2293730494361,VND,pdf
8,Selling expenses,Chi phí bán hàng,2346717795,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,4094677795,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,null,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,31740106678,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,132399400,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,null,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,23058075992,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,2232999764313,VND,pdf
23,Market value of equity,Vốn hóa thị trường,null,VND,yahoo
24,Total liabilities,Nợ phải trả,60730730048,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-212453034509,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-1791981818,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-872274184154,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,6415540694,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,0,VND,pdf
30,Current assets,Tài sản ngắn hạn,500217954117,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,60376382048,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.1526,%,computed
33,Total inventory,Hàng tồn kho,184028217912,VND,pdf
34,Divident payment,Cổ tức đã trả,0,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,107.12,VND,pdf
36,Number of employees,Số lượng nhân viên,56,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,1386840822,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
