index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,35,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,,%,manual
4,Foreign ownership,Sở hữu nước ngoài,26,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,7675465855,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,149679789979345,VND,pdf
7,Total assets,Tổng tài sản,178236422358249,VND,pdf
8,Selling expenses,Chi phí bán hàng,2120068223228,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,1324261548679,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,536715844895,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,37008443446265,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,92299082082245,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,92299082082245,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,3043096589398,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,11779494682520,VND,pdf
17,Production cost,Tổng chi phí sản xuất,117915382199713,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,34520954931298,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,90780625511439,VND,pdf
23,Market value of equity,Vốn hóa thị trường,207541733410648.62,VND,yahoo
24,Total liabilities,Nợ phải trả,87455796846810,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,26720913303108,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,11621470092371,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-19669452763006,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,22471375562130,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,13464931998700,VND,pdf
30,Current assets,Tài sản ngắn hạn,94154859648304,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,73459315876441,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,65,%,computed
33,Total inventory,Hàng tồn kho,42134493932210,VND,pdf
34,Divident payment,Cổ tức đã trả,1693086647969,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,7166,VND,pdf
36,Number of employees,Số lượng nhân viên,27651,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,68744125939109,VND,pdf
38,Firm age,Tuổi công ty,29,years,computed
