index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,17.77,%,manual
2,State ownership,Sở hữu nhà nước,0,%,manual
3,Institutional ownership,Sở hữu tổ chức,12.21,%,manual
4,Foreign ownership,Sở hữu nước ngoài,4.81,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,493481896,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,86267008434432,VND,pdf
7,Total assets,Tổng tài sản,26618030002939,VND,pdf
8,Selling expenses,Chi phí bán hàng,3344487236554,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,425816363938,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,219251957453,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,23517832935512,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,4917382392261,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,42143228874022,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,0,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,3389673536999,VND,pdf
17,Production cost,Tổng chi phí sản xuất,48759044079435,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,4313494062259,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,10831793828854,VND,pdf
23,Market value of equity,Vốn hóa thị trường,,VND,yahoo
24,Total liabilities,Nợ phải trả,15786236174085,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,1496076448500,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,476856734594,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-295658168393,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,492796782190,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,1399362118340,VND,pdf
30,Current assets,Tài sản ngắn hạn,18655160349585,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,14372246601418,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,77,%,computed
33,Total inventory,Hàng tồn kho,12349095948022,VND,pdf
34,Divident payment,Cổ tức đã trả,307131948,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,8.465,VND,pdf
36,Number of employees,Số lượng nhân viên,7584,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,6442809695940,VND,pdf
38,Firm age,Tuổi công ty,20,years,computed
