index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1445915457,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,78251619.0,VND,pdf
7,Total assets,Tổng tài sản,147383472,VND,pdf
8,Selling expenses,Chi phí bán hàng,14192355,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,3750002,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,12106237,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,2350429,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,null,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,null,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,86119,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,1869927,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,38237241,VND,pdf
23,Market value of equity,Vốn hóa thị trường,98900617258800.0,VND,yahoo
24,Total liabilities,Nợ phải trả,109146231,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,500461,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,2228796,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-7823672,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,10124515,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,41541894,VND,pdf
30,Current assets,Tài sản ngắn hạn,43763477,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,50422500,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-1.0,%,computed
33,Total inventory,Hàng tồn kho,13174868,VND,pdf
34,Divident payment,Cổ tức đã trả,243821,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,294,VND,pdf
36,Number of employees,Số lượng nhân viên,35895,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,30468702,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
