index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,null,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,117796183,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,,VND,pdf
7,Total assets,Tổng tài sản,4898198061937,VND,pdf
8,Selling expenses,Chi phí bán hàng,437437678262,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,137179719745,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,7604875204,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,557872853928,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,3389098728266,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,247875714069,VND,pdf
17,Production cost,Tổng chi phí sản xuất,4210900073817,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,467759648912,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,2707977704900,VND,pdf
23,Market value of equity,Vốn hóa thị trường,null,VND,yahoo
24,Total liabilities,Nợ phải trả,2190220357037,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,315070513260,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-92181677991,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-754678831507,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,142541519801,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,16720597523,VND,pdf
30,Current assets,Tài sản ngắn hạn,2721738069056,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,2173499759514,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,,%,computed
33,Total inventory,Hàng tồn kho,1081529963899,VND,pdf
34,Divident payment,Cổ tức đã trả,-294490457500,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,3596,VND,pdf
36,Number of employees,Số lượng nhân viên,1356,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,1456309209920,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
