index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,77.26%,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,1270592235,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,284017424539160,VND,pdf
7,Total assets,Tổng tài sản,81274634873472,VND,pdf
8,Selling expenses,Chi phí bán hàng,13517691226147,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,1040695331786,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,2386795434891,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,3760132507450,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,4699116590974,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,4351543854204,VND,pdf
17,Production cost,Tổng chi phí sản xuất,null,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,3161151940515,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,29307974443473,VND,pdf
23,Market value of equity,Vốn hóa thị trường,46101895675939.516,VND,yahoo
24,Total liabilities,Nợ phải trả,51966660429999,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,2372990773154,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,1995731599636,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,2551482272647,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,14933068792315,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,487101948000,VND,pdf
30,Current assets,Tài sản ngắn hạn,59543529720085,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,51179621629763,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0362,%,computed
33,Total inventory,Hàng tồn kho,15673039677316,VND,pdf
34,Divident payment,Cổ tức đã trả,2107418183785,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,1767,VND,pdf
36,Number of employees,Số lượng nhân viên,25967,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,11198732428507,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
