index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,9.81%,%,bctn
2,State ownership,Sở hữu nhà nước,0.00%,%,bctn
3,Institutional ownership,Sở hữu tổ chức,60.39%,%,bctn_computed
4,Foreign ownership,Sở hữu nước ngoài,47.14%,%,bctn
5,Total share outstanding,Tổng số cổ phiếu lưu hành,227366563,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,19735646137250,VND,pdf
7,Total assets,Tổng tài sản,10619016547122,VND,pdf
8,Selling expenses,Chi phí bán hàng,1687654952494,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,501819303928,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,650848303823,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,1306897354354,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,6533668664645,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,147603238069,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,651162176248,VND,pdf
17,Production cost,Tổng chi phí sản xuất,9061955781205,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,bctn_no_separate_disclosure
19,Product innovation,Đổi mới sản phẩm,1,binary,bctn_supported
20,Process innovation,Đổi mới quy trình,1,binary,bctn_supported
21,Net Income,Lợi nhuận sau thuế,1029042165645,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,6012633980253,VND,pdf
23,Market value of equity,Vốn hóa thị trường,null,VND,yahoo
24,Total liabilities,Nợ phải trả,4606382566869,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,-722367231513,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,61304197645,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-48167290625,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,355454838957,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,null,VND,pdf
30,Current assets,Tài sản ngắn hạn,9292192238421,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,4563002409508,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.1271,%,computed
33,Total inventory,Hàng tồn kho,8754741712359,VND,pdf
34,Divident payment,Cổ tức đã trả,177376257045,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,4197,VND,pdf
36,Number of employees,Số lượng nhân viên,5806,người,bctn
37,"Net plant, property and equipment",Tài sản cố định hữu hình,259137188160,VND,pdf
38,Firm age,Tuổi công ty,33,years,computed
