index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,0.418%,%,manual
2,State ownership,Sở hữu nhà nước,35.67%,%,manual
3,Institutional ownership,Sở hữu tổ chức,17.77%,%,manual
4,Foreign ownership,Sở hữu nước ngoài,46.14%,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,41450540,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,2299235459009.0,VND,pdf
7,Total assets,Tổng tài sản,2123900644209,VND,pdf
8,Selling expenses,Chi phí bán hàng,614373637230,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,297187671306,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,58823602296,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,155679527170,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,359455865518,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,518711060796,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,556764120672,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,23109117842,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,350994361544,VND,pdf
17,Production cost,Tổng chi phí sản xuất,1619523901256,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,29805800000,VND,pdf
19,Product innovation,Đổi mới sản phẩm,1,binary,manual
20,Process innovation,Đổi mới quy trình,1,binary,manual
21,Net Income,Lợi nhuận sau thuế,285268918604,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,1489054787015,VND,pdf
23,Market value of equity,Vốn hóa thị trường,3102265925938.125,VND,yahoo
24,Total liabilities,Nợ phải trả,634845857194,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,287974736696,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,100529642315,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-168389312544,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,367084837901,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,0,VND,pdf
30,Current assets,Tài sản ngắn hạn,1530494506578,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,634845857194,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,-0.0453,%,computed
33,Total inventory,Hàng tồn kho,467898029137,VND,pdf
34,Divident payment,Cổ tức đã trả,56543606750,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,5.535,VND,pdf
36,Number of employees,Số lượng nhân viên,1481,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,449041431210,VND,pdf
38,Firm age,Tuổi công ty,51,years,computed
