index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,36.00%,%,manual
3,Institutional ownership,Sở hữu tổ chức,null,%,manual
4,Foreign ownership,Sở hữu nước ngoài,null,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,2089955445,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,60478912566740.0,VND,pdf
7,Total assets,Tổng tài sản,52673371104460,VND,pdf
8,Selling expenses,Chi phí bán hàng,13018093111879,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,1755619128197,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,1001132072466,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,null,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,10903632881807,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,27814583335708,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,null,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,null,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,3254256874931,VND,pdf
17,Production cost,Tổng chi phí sản xuất,35824183896095,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,null,VND,pdf
19,Product innovation,Đổi mới sản phẩm,null,binary,manual
20,Process innovation,Đổi mới quy trình,null,binary,manual
21,Net Income,Lợi nhuận sau thuế,9019354165051,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,35025743765470,VND,pdf
23,Market value of equity,Vốn hóa thị trường,123057507284884.1,VND,yahoo
24,Total liabilities,Nợ phải trả,17647627338990,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,7887423562363,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,1579637140762,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,-2988548510501,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,2912027359925,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,238476074100,VND,pdf
30,Current assets,Tài sản ngắn hạn,35935879621477,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,17138689974862,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0087,%,computed
33,Total inventory,Hàng tồn kho,6128081805088,VND,pdf
34,Divident payment,Cổ tức đã trả,8046328463250,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,3796,VND,pdf
36,Number of employees,Số lượng nhân viên,9877,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,11688520305045,VND,pdf
38,Firm age,Tuổi công ty,47.0,years,computed
