index_id,index_name,name_vn,value,unit,source
1,Managerial ownership,Sở hữu của ban điều hành,,%,manual
2,State ownership,Sở hữu nhà nước,51.00%,%,manual
3,Institutional ownership,Sở hữu tổ chức,,%,manual
4,Foreign ownership,Sở hữu nước ngoài,,%,manual
5,Total share outstanding,Tổng số cổ phiếu lưu hành,140000000,shares,yahoo
6,Total sales revenue and Net sales revenue,Doanh thu thuần,,VND,pdf
7,Total assets,Tổng tài sản,2891191736938,VND,pdf
8,Selling expenses,Chi phí bán hàng,63340144466,VND,pdf
9,General and administrative expenditure,Chi phí quản lý doanh nghiệp,97146278764,VND,pdf
10,Value of intangible assets,Tài sản cố định vô hình,8633982496,VND,pdf
11,Manufacturing overhead,Chi phí sản xuất chung,,VND,pdf
12,Net operating income,Lợi nhuận thuần từ hoạt động kinh doanh,24689397651,VND,pdf
13,Consumption of raw material,Chi phí nguyên vật liệu,642420403177,VND,pdf
14,Merchandise purchase of the year,Mua hàng hóa,,VND,pdf
15,Work-in-progess goods purchase,Chi phí sản xuất kinh doanh dở dang,0,VND,pdf
16,Outside manufacturing expenses,Chi phí dịch vụ mua ngoài,833838606970,VND,pdf
17,Production cost,Tổng chi phí sản xuất,2238115977952,VND,pdf
18,R&D expenditure,Chi phí nghiên cứu phát triển,,VND,pdf
19,Product innovation,Đổi mới sản phẩm,,binary,manual
20,Process innovation,Đổi mới quy trình,,binary,manual
21,Net Income,Lợi nhuận sau thuế,335255267808,VND,pdf
22,Total shareholders' equity,Vốn chủ sở hữu,1988924446304,VND,pdf
23,Market value of equity,Vốn hóa thị trường,2215345917968.75,VND,yahoo
24,Total liabilities,Nợ phải trả,902267290634,VND,pdf
25,Net cash from operating activities,Lưu chuyển tiền thuần từ HĐKD,68526350941,VND,pdf
26,Capital expenditure,Chi mua sắm TSCĐ,-111397818210,VND,pdf
27,Cash flows from investing activities,Lưu chuyển tiền từ HĐĐT,147775901482,VND,pdf
28,Cash and cash equivalent,Tiền và tương đương tiền,494056303894,VND,pdf
29,Long-term debt,Vay và nợ thuê tài chính dài hạn,492721294162,VND,pdf
30,Current assets,Tài sản ngắn hạn,2098918083779,VND,pdf
31,Current liabiltiies,Nợ ngắn hạn,409545996472,VND,pdf
32,Growth ratio,Tỷ lệ tăng trưởng,0.0,%,computed
33,Total inventory,Hàng tồn kho,105227111466,VND,pdf
34,Divident payment,Cổ tức đã trả,0,VND,pdf
35,EPS,Lãi cơ bản trên cổ phiếu,2395,VND,pdf
36,Number of employees,Số lượng nhân viên,674,người,manual
37,"Net plant, property and equipment",Tài sản cố định hữu hình,475212553651,VND,pdf
38,Firm age,Tuổi công ty,,years,computed
